Date,SP-Open,SP-High,SP-Low,SP-Close,SP-Volume,SP-Adj Close,EU-Open,EU-High,EU-Low,EU-Close,EU-Volume,EU-Adj Close,BR-Open,BR-High,BR-Low,BR-Close,BR-Volume,BR-Adj Close,HK-Open,HK-High,HK-Low,HK-Close,HK-Volume,HK-Adj Close
1950-01-03,16.66,16.66,16.66,16.66,1260000.0,16.66,,,,,,,,,,,,,,,,,,
1950-01-04,16.85,16.85,16.85,16.85,1890000.0,16.85,,,,,,,,,,,,,,,,,,
1950-01-05,16.93,16.93,16.93,16.93,2550000.0,16.93,,,,,,,,,,,,,,,,,,
1950-01-06,16.98,16.98,16.98,16.98,2010000.0,16.98,,,,,,,,,,,,,,,,,,
1950-01-09,17.08,17.08,17.08,17.08,2520000.0,17.08,,,,,,,,,,,,,,,,,,
1950-01-10,17.030001,17.030001,17.030001,17.030001,2160000.0,17.030001,,,,,,,,,,,,,,,,,,
1950-01-11,17.09,17.09,17.09,17.09,2630000.0,17.09,,,,,,,,,,,,,,,,,,
1950-01-12,16.76,16.76,16.76,16.76,2970000.0,16.76,,,,,,,,,,,,,,,,,,
1950-01-13,16.67,16.67,16.67,16.67,3330000.0,16.67,,,,,,,,,,,,,,,,,,
1950-01-16,16.719999,16.719999,16.719999,16.719999,1460000.0,16.719999,,,,,,,,,,,,,,,,,,
1950-01-17,16.860001,16.860001,16.860001,16.860001,1790000.0,16.860001,,,,,,,,,,,,,,,,,,
1950-01-18,16.85,16.85,16.85,16.85,1570000.0,16.85,,,,,,,,,,,,,,,,,,
1950-01-19,16.870001,16.870001,16.870001,16.870001,1170000.0,16.870001,,,,,,,,,,,,,,,,,,
1950-01-20,16.9,16.9,16.9,16.9,1440000.0,16.9,,,,,,,,,,,,,,,,,,
1950-01-23,16.92,16.92,16.92,16.92,1340000.0,16.92,,,,,,,,,,,,,,,,,,
1950-01-24,16.860001,16.860001,16.860001,16.860001,1250000.0,16.860001,,,,,,,,,,,,,,,,,,
1950-01-25,16.74,16.74,16.74,16.74,1700000.0,16.74,,,,,,,,,,,,,,,,,,
1950-01-26,16.73,16.73,16.73,16.73,1150000.0,16.73,,,,,,,,,,,,,,,,,,
1950-01-27,16.82,16.82,16.82,16.82,1250000.0,16.82,,,,,,,,,,,,,,,,,,
1950-01-30,17.02,17.02,17.02,17.02,1640000.0,17.02,,,,,,,,,,,,,,,,,,
1950-01-31,17.049999,17.049999,17.049999,17.049999,1690000.0,17.049999,,,,,,,,,,,,,,,,,,
1950-02-01,17.049999,17.049999,17.049999,17.049999,1810000.0,17.049999,,,,,,,,,,,,,,,,,,
