Date;Date;SP-Open;SP-High;SP-Low;SP-Close;SP-Volume;SP-Adj Close;EN-Open;EN-High;EN-Low;EN-Close;EN-Volume;EN-Adj Close;BR-Open;BR-High;BR-Low;BR-Close;BR-Volume;BR-Adj Close;HK-Open;HK-High;HK-Low;HK-Close;HK-Volume;HK-Adj Close;SP-Return;EN-Return;BR-Return;HK-Return
1950-01-03;1950-01-03;16.66;16.66;16.66;16.66;1260000.0;16.66;;;;;;;;;;;;;;;;;;;;;;
1950-01-04;1950-01-04;16.85;16.85;16.85;16.85;1890000.0;16.85;;;;;;;;;;;;;;;;;;;0.0114045618247;;;
1950-01-05;1950-01-05;16.93;16.93;16.93;16.93;2550000.0;16.93;;;;;;;;;;;;;;;;;;;0.00474777448071;;;
1950-01-06;1950-01-06;16.98;16.98;16.98;16.98;2010000.0;16.98;;;;;;;;;;;;;;;;;;;0.00295333727112;;;
1950-01-09;1950-01-09;17.08;17.08;17.08;17.08;2520000.0;17.08;;;;;;;;;;;;;;;;;;;0.00588928150766;;;
1950-01-10;1950-01-10;17.030001;17.030001;17.030001;17.030001;2160000.0;17.030001;;;;;;;;;;;;;;;;;;;-0.00292734192037;;;
1950-01-11;1950-01-11;17.09;17.09;17.09;17.09;2630000.0;17.09;;;;;;;;;;;;;;;;;;;0.0035231354361;;;
1950-01-12;1950-01-12;16.76;16.76;16.76;16.76;2970000.0;16.76;;;;;;;;;;;;;;;;;;;-0.0193095377414;;;
1950-01-13;1950-01-13;16.67;16.67;16.67;16.67;3330000.0;16.67;;;;;;;;;;;;;;;;;;;-0.00536992840095;;;
1950-01-16;1950-01-16;16.719999;16.719999;16.719999;16.719999;1460000.0;16.719999;;;;;;;;;;;;;;;;;;;0.00299934013197;;;
1950-01-17;1950-01-17;16.860001;16.860001;16.860001;16.860001;1790000.0;16.860001;;;;;;;;;;;;;;;;;;;0.00837332585965;;;
1950-01-18;1950-01-18;16.85;16.85;16.85;16.85;1570000.0;16.85;;;;;;;;;;;;;;;;;;;-0.000593179087;;;
1950-01-19;1950-01-19;16.870001;16.870001;16.870001;16.870001;1170000.0;16.870001;;;;;;;;;;;;;;;;;;;0.00118700296736;;;
1950-01-20;1950-01-20;16.9;16.9;16.9;16.9;1440000.0;16.9;;;;;;;;;;;;;;;;;;;0.00177824530064;;;
1950-01-23;1950-01-23;16.92;16.92;16.92;16.92;1340000.0;16.92;;;;;;;;;;;;;;;;;;;0.00118343195266;;;
1950-01-24;1950-01-24;16.860001;16.860001;16.860001;16.860001;1250000.0;16.860001;;;;;;;;;;;;;;;;;;;-0.00354604018913;;;
1950-01-25;1950-01-25;16.74;16.74;16.74;16.74;1700000.0;16.74;;;;;;;;;;;;;;;;;;;-0.00711749661225;;;
1950-01-26;1950-01-26;16.73;16.73;16.73;16.73;1150000.0;16.73;;;;;;;;;;;;;;;;;;;-0.000597371565113;;;
1950-01-27;1950-01-27;16.82;16.82;16.82;16.82;1250000.0;16.82;;;;;;;;;;;;;;;;;;;0.00537955768081;;;
1950-01-30;1950-01-30;17.02;17.02;17.02;17.02;1640000.0;17.02;;;;;;;;;;;;;;;;;;;0.0118906064209;;;
1950-01-31;1950-01-31;17.049999;17.049999;17.049999;17.049999;1690000.0;17.049999;;;;;;;;;;;;;;;;;;;0.00176257344301;;;
1950-02-01;1950-02-01;17.049999;17.049999;17.049999;17.049999;1810000.0;17.049999;;;;;;;;;;;;;;;;;;;0.0;;;
1950-02-02;1950-02-02;17.23;17.23;17.23;17.23;2040000.0;17.23;;;;;;;;;;;;;;;;;;;0.010557244021;;;
1950-02-03;1950-02-03;17.290001;17.290001;17.290001;17.290001;2210000.0;17.290001;;;;;;;;;;;;;;;;;;;0.00348235635519;;;
1950-02-06;1950-02-06;17.32;17.32;17.32;17.32;1490000.0;17.32;;;;;;;;;;;;;;;;;;;0.00173504906102;;;
1950-02-07;1950-02-07;17.23;17.23;17.23;17.23;1360000.0;17.23;;;;;;;;;;;;;;;;;;;-0.00519630484988;;;
1950-02-08;1950-02-08;17.209999;17.209999;17.209999;17.209999;1470000.0;17.209999;;;;;;;;;;;;;;;;;;;-0.00116082414394;;;
